figure_id,RNA_MB_neuropil,protein_MB_neuropil,Comments,RNA yes,RNA no,protein yes,protein no
2138863,no,no,,,,,
2138275,no,no,,,,,
2138424,no,yes,,,,,
2138693,no,no,,,,,
2138308,no,yes,,,,,
2138316,no,no,,,,,
2138894,no,no,,,,,
2138400,no,no,,,,,
2138772,no,no,,,,,
2137761,no,no,,,,,
2138052,no,no,,,,,
2138875,no,yes,,,,,
2138660,no,no,,,,,
2138031,no,yes,,,,,
2138648,no,no,,,,,
2138076,no,no,,,,,
2138627,no,no,,,,,
2138744,no,no,,,,,
2138644,no,no,,,,,
2138662,no,yes,,,,,
2138814,no,no,,,,,
2138818,no,no,,,,,
2138121,no,no,,,,,
2137759,no,no,,,,,
2138853,no,no,,,,,
2138758,no,no,,,,,
2138658,no,no,,,,,
2137923,no,no,,,,,
2138754,no,no,,,,,
2137940,no,yes,,,,,
2138457,no,no,,,,,
2138545,no,no,,,,,
2137985,no,no,,,,,
2138526,no,no,,,,,
2138426,no,no,,,,,
2138341,no,no,,,,,
2139875,yes,no,,,,,
2139879,no,no,,,,,
2139883,no,no,,,,,
2139896,yes,yes,,,,,
2139976,no,yes,,,,,
2140574,no,no,,,,,
2140578,yes,no,,,,,
2140583,yes,no,,,,,
2140666,no,no,,,,,
2140667,no,no,,,,,
2140668,no,no,,,,,
2140678,no,no,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2138571,no,no,,,,,
