figure_id,Collection,Compartment,OMEROFigurelink,image,Flybase_ID,FlyBase link,Gene,Is RNA in MB neuropil?,Is protein in MB neuropil?_x,Is RNA in MB neuropil?,Is protein expressed in MB neuropil?,Is RNA in OL neuropil?_y,Is protein in OL neuropil?_y,Is RNA in NMJ axon?,Is protein in NMJ axon?,"Cell-specific transcription, CB?_x","Intercellular protein:RNA discordance, CB?_x","Cell-specific transcription, CB?_y","Intercellular protein:RNA discordance, CB?_y",Revise figure?,RNA expressed in CB?_x,Punctate CB?_x,RNA expressed in CB?_y,Protein expressedin CB?_y,Protein expressed in CB?_x,"Data interpretable, MB?_x","Data interpretable, CB?_y",Punctate in CB?_y,neurite_RNA_enrich,brain_RNAseq,brain_Syp_RIP_seq,CNS_Imp_RIP_seq,goAnnotation_x,goAnnotation_y
2138443,CPTI000877,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138443,2138443.png,FBgn0010217,http://flybase.org/reports/FBgn0010217,ATPsynbeta,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,both,no,both,no,both,yes,yes,no,,9064.333333,5339.333333,3535,ATP synthesis coupled proton transport;mitochondrial ATP synthesis coupled proton transport;proton transmembrane transport,ATP synthesis coupled proton transport;mitochondrial ATP synthesis coupled proton transport;proton transmembrane transport
2138411,CPTI000944,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138411,2138411.png,FBgn0264607,http://flybase.org/reports/FBgn0264607,CaMKII,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,8386,4623.666667,2236,cellular response to starvation;chemical synaptic transmission;courtship behavior;learning or memory;long-term memory;male courtship behavior;negative regulation of cytokine secretion;negative regulation of lipid storage;neuromuscular junction development;peptidyl-threonine autophosphorylation;protein phosphorylation;regulation of filopodium assembly;regulation of ovulation;regulation of synaptic growth at neuromuscular junction,cellular response to starvation;chemical synaptic transmission;courtship behavior;learning or memory;long-term memory;male courtship behavior;negative regulation of cytokine secretion;negative regulation of lipid storage;neuromuscular junction development;peptidyl-threonine autophosphorylation;protein phosphorylation;regulation of filopodium assembly;regulation of ovulation;regulation of synaptic growth at neuromuscular junction
2138326,CPTI001261,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138326,2138326.png,FBgn0261552,http://flybase.org/reports/FBgn0261552,ps,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,both,no,both,progeny,progeny,yes,yes,no,,1782,5667.333333,8489,"positive regulation of RNA splicing;regulation of alternative mRNA splicing, via spliceosome","positive regulation of RNA splicing;regulation of alternative mRNA splicing, via spliceosome"
2137783,CPTI001279,MB,https://omero1.bioch.ox.ac.uk/figure/file/2137783,2137783.png,FBgn0000635,http://flybase.org/reports/FBgn0000635,Fas2,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,both,yes,progeny,progeny,both,yes,yes,no,,5313.666667,4475.666667,4477,"Bolwig's organ morphogenesis;axon guidance;axonal fasciculation;behavioral response to ethanol;cell morphogenesis involved in neuron differentiation;dendrite self-avoidance;homophilic cell adhesion via plasma membrane adhesion molecules;imaginal disc-derived male genitalia morphogenesis;learning;learning or memory;motor neuron axon guidance;mushroom body development;negative regulation of epidermal growth factor receptor signaling pathway;negative regulation of neuron remodeling;neuromuscular junction development;neuron recognition;olfactory learning;photoreceptor cell axon guidance;regulation of synapse structure or activity;regulation of synaptic growth at neuromuscular junction;regulation of synaptic plasticity;regulation of tube diameter, open tracheal system;regulation of tube length, open tracheal system;short-term memory;synapse organization;terminal button organization","Bolwig's organ morphogenesis;axon guidance;axonal fasciculation;behavioral response to ethanol;cell morphogenesis involved in neuron differentiation;dendrite self-avoidance;homophilic cell adhesion via plasma membrane adhesion molecules;imaginal disc-derived male genitalia morphogenesis;learning;learning or memory;motor neuron axon guidance;mushroom body development;negative regulation of epidermal growth factor receptor signaling pathway;negative regulation of neuron remodeling;neuromuscular junction development;neuron recognition;olfactory learning;photoreceptor cell axon guidance;regulation of synapse structure or activity;regulation of synaptic growth at neuromuscular junction;regulation of synaptic plasticity;regulation of tube diameter, open tracheal system;regulation of tube length, open tracheal system;short-term memory;synapse organization;terminal button organization"
2138250,CPTI001308,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138250,2138250.png,FBgn0052479,http://flybase.org/reports/FBgn0052479,Usp10,yes,no,no,no,no,no,no,no,no,no,no,no,no,both,yes,both,both,both,yes,yes,yes,,4028,3728.666667,639,negative regulation of transcription elongation from RNA polymerase II promoter;positive regulation of Notch signaling pathway;protein deubiquitination;ubiquitin-dependent protein catabolic process,negative regulation of transcription elongation from RNA polymerase II promoter;positive regulation of Notch signaling pathway;protein deubiquitination;ubiquitin-dependent protein catabolic process
2137875,CPTI001309,MB,https://omero1.bioch.ox.ac.uk/figure/file/2137875,2137875.png,FBgn0011592,http://flybase.org/reports/FBgn0011592,fra,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,both,yes,both,both,both,yes,yes,yes,,6329.333333,2354,1423,axon guidance;axon midline choice point recognition;compound eye development;dendrite guidance;dendrite morphogenesis;glial cell migration;iron ion homeostasis;motor neuron axon guidance;peripheral nervous system neuron axonogenesis;positive regulation of BMP signaling pathway;positive regulation of cell migration;regulation of axonogenesis;regulation of dendrite development;salivary gland boundary specification,axon guidance;axon midline choice point recognition;compound eye development;dendrite guidance;dendrite morphogenesis;glial cell migration;iron ion homeostasis;motor neuron axon guidance;peripheral nervous system neuron axonogenesis;positive regulation of BMP signaling pathway;positive regulation of cell migration;regulation of axonogenesis;regulation of dendrite development;salivary gland boundary specification
2138756,CPTI001328,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138756,2138756.png,FBgn0265523,http://flybase.org/reports/FBgn0265523,Smr,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,21110.66667,27108.33333,7497,negative regulation of Notch signaling pathway;negative regulation of transcription by RNA polymerase II;ovarian follicle cell development;regulation of mitotic cell cycle;wing disc development,negative regulation of Notch signaling pathway;negative regulation of transcription by RNA polymerase II;ovarian follicle cell development;regulation of mitotic cell cycle;wing disc development
2138590,CPTI001427,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138590,2138590.png,FBgn0264078,http://flybase.org/reports/FBgn0264078,Flo2,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,3543.333333,6500,3841,cell adhesion;melanotic encapsulation of foreign target;positive regulation of Wnt protein secretion;positive regulation of Wnt signaling pathway by establishment of Wnt protein localization to extracellular region;positive regulation of filopodium assembly,cell adhesion;melanotic encapsulation of foreign target;positive regulation of Wnt protein secretion;positive regulation of Wnt signaling pathway by establishment of Wnt protein localization to extracellular region;positive regulation of filopodium assembly
2138033,CPTI001589,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138033,2138033.png,FBgn0263391,http://flybase.org/reports/FBgn0263391,hts,yes,yes,yes,yes,yes,yes,no,no,,,no,no,no,,,both,both,,yes,,no,,12939.66667,11227.33333,5817,"actin filament bundle assembly;actin filament bundle organization;adult somatic muscle development;axon guidance;barbed-end actin filament capping;centrosome cycle;cystoblast division;female germ-line cyst formation;female germline ring canal formation, actin assembly;fusome organization;germ-line cyst formation;germarium-derived oocyte fate determination;meiotic spindle organization;oogenesis;ovarian fusome organization;photoreceptor cell axon guidance;sarcomere organization;testicular fusome organization","actin filament bundle assembly;actin filament bundle organization;adult somatic muscle development;axon guidance;barbed-end actin filament capping;centrosome cycle;cystoblast division;female germ-line cyst formation;female germline ring canal formation, actin assembly;fusome organization;germ-line cyst formation;germarium-derived oocyte fate determination;meiotic spindle organization;oogenesis;ovarian fusome organization;photoreceptor cell axon guidance;sarcomere organization;testicular fusome organization"
2138038,CPTI001714,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138038,2138038.png,FBgn0264975,http://flybase.org/reports/FBgn0264975,Nrg,yes,yes,yes,yes,yes,yes,no,no,,,no,no,no,,,both,both,,yes,,no,,9459,9360,14930,"axon ensheathment;axon extension;axonogenesis;cell adhesion involved in heart morphogenesis;cell-cell adhesion;central complex development;dendrite morphogenesis;establishment of glial blood-brain barrier;female courtship behavior;imaginal disc morphogenesis;male courtship behavior;melanotic encapsulation of foreign target;motor neuron axon guidance;mushroom body development;nerve maturation;neuron cell-cell adhesion;photoreceptor cell axon guidance;regulation of female receptivity;regulation of tube size, open tracheal system;septate junction assembly;synapse organization","axon ensheathment;axon extension;axonogenesis;cell adhesion involved in heart morphogenesis;cell-cell adhesion;central complex development;dendrite morphogenesis;establishment of glial blood-brain barrier;female courtship behavior;imaginal disc morphogenesis;male courtship behavior;melanotic encapsulation of foreign target;motor neuron axon guidance;mushroom body development;nerve maturation;neuron cell-cell adhesion;photoreceptor cell axon guidance;regulation of female receptivity;regulation of tube size, open tracheal system;septate junction assembly;synapse organization"
2138797,CPTI001718,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138797,2138797.png,FBgn0045823,http://flybase.org/reports/FBgn0045823,vsg,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,both,yes,both,both,both,yes,yes,yes,1,2742.333333,2306.333333,4209,behavioral response to ethanol;long-term memory;multicellular organism reproduction;regulation of cell population proliferation,behavioral response to ethanol;long-term memory;multicellular organism reproduction;regulation of cell population proliferation
2137895,CPTI001918,MB,https://omero1.bioch.ox.ac.uk/figure/file/2137895,2137895.png,FBgn0001145,http://flybase.org/reports/FBgn0001145,Gs2,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,progeny,no,progeny,progeny,progeny,yes,yes,no,1,783.6666667,1674.333333,1673,glutamate catabolic process;glutamine biosynthetic process;neurotransmitter receptor metabolic process;synapse assembly,glutamate catabolic process;glutamine biosynthetic process;neurotransmitter receptor metabolic process;synapse assembly
2138877,CPTI001995,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138877,2138877.png,FBgn0259214,http://flybase.org/reports/FBgn0259214,PMCA,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,both,no,both,both,both,yes,yes,no,,10070.66667,4189,2450,calcium ion transmembrane transport;cellular calcium ion homeostasis;regulation of cytosolic calcium ion concentration,calcium ion transmembrane transport;cellular calcium ion homeostasis;regulation of cytosolic calcium ion concentration
2138594,CPTI002023,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138594,2138594.png,FBgn0250823,http://flybase.org/reports/FBgn0250823,gish,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,both,yes,both,both,both,yes,yes,no,,5824,10087.66667,3735,glial cell migration;negative regulation of actin nucleation;olfactory learning;ommatidial rotation;positive regulation of canonical Wnt signaling pathway;positive regulation of smoothened signaling pathway;protein phosphorylation;regulation of endocytic recycling;regulation of establishment of planar polarity;response to mechanical stimulus;sperm individualization,glial cell migration;negative regulation of actin nucleation;olfactory learning;ommatidial rotation;positive regulation of canonical Wnt signaling pathway;positive regulation of smoothened signaling pathway;protein phosphorylation;regulation of endocytic recycling;regulation of establishment of planar polarity;response to mechanical stimulus;sperm individualization
2138798,CPTI002103,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138798,2138798.png,FBgn0022986,http://flybase.org/reports/FBgn0022986,qkr58E-1,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,no,both,yes,both,progeny,NB,yes,yes,yes,,2269,2557,2586,"mRNA splicing, via spliceosome;regulation of mRNA splicing, via spliceosome","mRNA splicing, via spliceosome;regulation of mRNA splicing, via spliceosome"
2137986,CPTI002285,MB,https://omero1.bioch.ox.ac.uk/figure/file/2137986,2137986.png,FBgn0022960,http://flybase.org/reports/FBgn0022960,vimar,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,1,2394,1809.333333,1145,muscle cell cellular homeostasis;positive regulation of GTPase activity;positive regulation of neuron death;rhabdomere development,muscle cell cellular homeostasis;positive regulation of GTPase activity;positive regulation of neuron death;rhabdomere development
2138659,CPTI002305,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138659,2138659.png,FBgn0031307,http://flybase.org/reports/FBgn0031307,MFS3,yes,yes,no,no,no,no,no,no,no,no,no,no,no,progeny,no,both,both,progeny,yes,yes,no,,778.6666667,253.3333333,320,anion transport;transmembrane transport,anion transport;transmembrane transport
2138179,CPTI002761,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138179,2138179.png,FBgn0002921,http://flybase.org/reports/FBgn0002921,Atpalpha,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,25536,21605,51492,"adult locomotory behavior;cation transport;cellular potassium ion homeostasis;cellular sodium ion homeostasis;chemical synaptic transmission;determination of adult lifespan;jump response;locomotory behavior;neuromuscular process;potassium ion import across plasma membrane;proton transmembrane transport;regulation of tube diameter, open tracheal system;regulation of tube length, open tracheal system;response to mechanical stimulus;response to temperature stimulus;sensory perception of sound;septate junction assembly;sodium ion export across plasma membrane;synaptic growth at neuromuscular junction;tissue homeostasis;trachea morphogenesis","adult locomotory behavior;cation transport;cellular potassium ion homeostasis;cellular sodium ion homeostasis;chemical synaptic transmission;determination of adult lifespan;jump response;locomotory behavior;neuromuscular process;potassium ion import across plasma membrane;proton transmembrane transport;regulation of tube diameter, open tracheal system;regulation of tube length, open tracheal system;response to mechanical stimulus;response to temperature stimulus;sensory perception of sound;septate junction assembly;sodium ion export across plasma membrane;synaptic growth at neuromuscular junction;tissue homeostasis;trachea morphogenesis"
2138140,CPTI002853,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138140,2138140.png,FBgn0003165,http://flybase.org/reports/FBgn0003165,pum,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,both,yes,both,both,both,yes,yes,no,,14981,36621,21490,"anterior/posterior axis specification, embryo;behavioral response to ethanol;cell migration;chemical synaptic transmission;dendrite morphogenesis;germ cell development;germ-line stem cell division;head involution;long-term memory;mitotic cell cycle;modulation of chemical synaptic transmission;negative regulation of cell cycle;negative regulation of epidermal growth factor receptor signaling pathway;negative regulation of transcription, DNA-templated;negative regulation of translation;nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay;oogenesis;pole cell migration;positive regulation of nuclear-transcribed mRNA poly(A) tail shortening;positive regulation of translation;posttranscriptional gene silencing;posttranscriptional regulation of gene expression;regulation of synaptic growth at neuromuscular junction","anterior/posterior axis specification, embryo;behavioral response to ethanol;cell migration;chemical synaptic transmission;dendrite morphogenesis;germ cell development;germ-line stem cell division;head involution;long-term memory;mitotic cell cycle;modulation of chemical synaptic transmission;negative regulation of cell cycle;negative regulation of epidermal growth factor receptor signaling pathway;negative regulation of transcription, DNA-templated;negative regulation of translation;nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay;oogenesis;pole cell migration;positive regulation of nuclear-transcribed mRNA poly(A) tail shortening;positive regulation of translation;posttranscriptional gene silencing;posttranscriptional regulation of gene expression;regulation of synaptic growth at neuromuscular junction"
2138908,CPTI002905,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138908,2138908.png,FBgn0063485,http://flybase.org/reports/FBgn0063485,Lasp,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,both,no,both,both,both,yes,yes,yes,1,0,0,0,muscle thin filament assembly;pole cell formation;positive regulation of pole plasm oskar mRNA localization;regulation of myofibril size;sarcomere organization;sperm individualization;spermatogenesis,muscle thin filament assembly;pole cell formation;positive regulation of pole plasm oskar mRNA localization;regulation of myofibril size;sarcomere organization;sperm individualization;spermatogenesis
2137809,CPTI003089,MB,https://omero1.bioch.ox.ac.uk/figure/file/2137809,2137809.png,FBgn0261885,http://flybase.org/reports/FBgn0261885,osa,yes,no,no,no,no,no,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,21074,14137,3520,"ATP-dependent chromatin remodeling;Wnt signaling pathway;imaginal disc-derived leg morphogenesis;imaginal disc-derived wing margin morphogenesis;imaginal disc-derived wing morphogenesis;imaginal disc-derived wing vein morphogenesis;negative regulation of neuroblast proliferation;neuroblast fate commitment;photoreceptor cell differentiation;positive regulation of transcription, DNA-templated;regulation of transcription by RNA polymerase II;regulation of transcription, DNA-templated;segment specification;wing disc dorsal/ventral pattern formation","ATP-dependent chromatin remodeling;Wnt signaling pathway;imaginal disc-derived leg morphogenesis;imaginal disc-derived wing margin morphogenesis;imaginal disc-derived wing morphogenesis;imaginal disc-derived wing vein morphogenesis;negative regulation of neuroblast proliferation;neuroblast fate commitment;photoreceptor cell differentiation;positive regulation of transcription, DNA-templated;regulation of transcription by RNA polymerase II;regulation of transcription, DNA-templated;segment specification;wing disc dorsal/ventral pattern formation"
2138264,CPTI003100,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138264,2138264.png,FBgn0052062,http://flybase.org/reports/FBgn0052062,Rbfox1,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,10063,20819.66667,13320,"germarium-derived oocyte differentiation;imaginal disc-derived wing vein specification;memory;negative regulation of translation;nervous system development;oogenesis;positive regulation of transcription, DNA-templated;regulation of alternative mRNA splicing, via spliceosome","germarium-derived oocyte differentiation;imaginal disc-derived wing vein specification;memory;negative regulation of translation;nervous system development;oogenesis;positive regulation of transcription, DNA-templated;regulation of alternative mRNA splicing, via spliceosome"
2138800,CPTI003151,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138800,2138800.png,FBgn0023509,http://flybase.org/reports/FBgn0023509,mip130,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,both,no,both,progeny,progeny,yes,yes,no,,1639,1238.666667,532,centrosome cycle;eggshell chorion gene amplification;negative regulation of transcription by RNA polymerase II;regulation of cell cycle;regulation of transcription by RNA polymerase II;reproduction,centrosome cycle;eggshell chorion gene amplification;negative regulation of transcription by RNA polymerase II;regulation of cell cycle;regulation of transcription by RNA polymerase II;reproduction
